Insult,Date,Comment
0,,"""To all those doom-and-gloomers, the chicken-littles who claim the sky is falling and that society is collapsing...Canada has had gay marriage nationwide for years. Where is the disaster? Where is the collapse and the persecution you're shouting about? Where is it? Please, show us some examples because it's starting to look like your threats and fears and warnings are nothing but HOT AIR."""
0,20120612144331Z,"""Craig, we have been saying from the start that this is a very entertaining show.\xa0 It awakens the horny little Goth in me.\xa0 I met my boyfriend during the first season and one of the first thing we did was watch AHS at my house.\xa0 I know he likes me and all but to this day he is sure I am far creepier and kinkier than he could ever be.\xa0 Thanks, American Horror Story.\xa0 Sweet Clam loves you."""
0,20120529025329Z,"""Strange you are talking about that when there were Chelsea fans in here belittling the Community Shield"""
0,20120612052926Z,"""But how would you actually get the key out?"""
0,20120528193950Z,"""oh cool, some more internet points for your collection!"""
0,20120529230121Z,"""Even though I think there are better coaches out there, I am glad Del Negro is keeping his job.  I never thought he got enough credit those years when he took those average Chicago Bulls teams he coached to the playoffs 2 years in a row"""
0,20120611201838Z,"""russellpiano\xa0\nHmmmm...how can we spin Obama honoring Vietnam troops as something negative.Answer: Doesn't matter! Look at our followers. They'll take anything.\n\n_________________________________________________________________________________________\nObama team: \xa0""Hmmm, how can we make the liberal Messiah look better in light of the revelations of his leaking classified information to the New York Times?I know, lets have a bogus photo shoot at the Viet Nam Memorial. That will make Obama look like he cares about vets (but first we'll have to clear all the vets out of the immediate area because they can't be trusted)."""""
0,20120529115214Z,"""A good article, which, for all the good it will do, could have been delivered to a brick wall."""
0,,"""Head's up warning...another source of funding for Media Matters is Peter Lewis of the Progessive Insurance Company. You know, those auto insurance commercials that run every 5 minutes on cable television featuring the gal who looks like a blow-up doll with red lips and\\xc2\\xa0a perfectly round mouth...if you know what I mean.\\nIF you have Progressive\\xc2\\xa0auto insurance, just know that part of your premium is going to fund a progressive liberal\\xc2\\xa0organization hell bent\\xc2\\xa0on destroying\\xc2\\xa0our country and our free speech. Their mission is to\\xc2\\xa0bring down\\xc2\\xa0Hannity,Beck,Dobbs,Lavin,Limbaugh,Boortz,etc. We must not let them win."""
0,20120620055647Z,"""@sdnoriko LOL as if Capcom listens. Watch them fuck this up too. I hope I am wrong. I love Okami."""
1,20120515132156Z,"""Allinit123, your\xa0hypocrisy\xa0is sickening, you ignorant loser."""
0,20120620011710Z,"""Fast & furious didn't work out like they planned did it?.............lololololololol"""
0,20120530111709Z,"""mitt isn't the best candidate for president.......but, going against the worst\xa0candidate\xa0ever should help him tremendously. \xa0LOL\xa0\n\nobama is one and done......it could happen no other way."""
1,20120620161958Z,"""I can't believe the stupid people on this site that have no idea what is going on.\xa0 You fools.\xa0 You are all useful idiots.\xa0 They are hiding the truth because you fools who protect him would look like the useful idiots you are."""
1,20120609163743Z,"""fucking behave then you prick!"""
0,20120619094846Z,"""The only ""other"" relevant fact is that HE IS DESTROYING AMERICA!"""
0,20120609175446Z,"""You are a liar."""
1,20120620075045Z,"""Is that it??  your sum total to any conversation is first abuse and then calling them a troll..   You are a typical socialist idiot.  Keep up your non existent class warfare, it is as pointless as you."""
0,20120619231647Z,"""@beanstalk @briview Welp then NBW right?"""
0,20120620024445Z,"""Good job, fellas. I didn't quite read the rules about a signature piece, but I guess that was as good as any. I found some great blogs to follow, and to share over at G+. If I'm not commenting on your blogs, it's because I always throw my two cents in when I post my share. Add me on there if you are a Googler. \nhttps://plus.google.com/109258118458627782001/posts. Again, congratulations to the winners, and I hope we get the chance to submit something else. This was fucking fun."""
0,,"""I say hang is ass in the center of the town to let it be known that this type of behavior gets this type of punishment... The lady had a kid 1 week ago. Women aren't safe to have sex after child birth for AT LEAST 6 weeks. So even if this WAS\\xc2\\xa0consensual, it would have been wayyyyy too soon and hurt the lady. I am so glad the the baby is so young and will not remember this event happening in it's house and I hope the mother recovers quickly."""
1,20120619074710Z,"""faggot"""
0,20120529201852Z,"""You right if you are relaxe then you can give better result or perform and your identity should be from your work."""
1,20120529130844Z,"""Aimless Abe you are a delusion weirdo that should be locked up inside and kept away from computers.\xa0 Anyone who doubts the lunacy of Abe the moronic prog frog from NYC please read this thread and you will see Abe completely come apart from the seams and go off the deep end."""
0,20120610150536Z,"""That, I do not doubt...\n\n....as a Blackberry clone.\n\nBut, your original argument was not that Android would have existed, just that Android somehow predates iOS development."""
0,20120530023429Z,"""OKC should work out a deal to get a PG who plays more like Parker or CP3.  I think Nash at the point, and move Westbrook to SG that team would be unstoppable.  Imagine the shots Nash would create for Durant.  Then Westbrook would be at his natural position too, the guy doesn't create shots or distribute."""
0,20120619183841Z,"""Maher's show goes on and on....\nPalin's\xa0 Alakda show gets canceled.\n\nIsn't the ""free market"" wonderful?"""
1,20120320131007Z,"""Even as a troll you are a pathetic failure."""
0,20120529231612Z,"""Grazie mille Sabrina! Sei cos\xec dolce.\n\nBaci."""
0,20120530064120Z,"""yeah well, it would still be better than letting them sit there for 20-30 years on my dime before sticking a needle in their veins. I say give them ALL a noose. If they choose to kill themselves, so be it."""
0,20120612003945Z,"""um\n\xa0\nholy fuck i need a cigarette"""
1,20120502173058Z,"""You're a moron, truth is beyond your reach"""
0,20120529022638Z,"""You seem wistful."""
0,20120529141937Z,"""Damn, speedy recovery, Paul...raining prayers down on you!"""
0,20120528151453Z,"""The laughs you two heard were triggered by memories of his own high-flying exits off moving beasts"""
1,20120619203151Z,"""Your anti-Semitic rants are not welcomed here. You are a racist moron.\nFU!"""
0,20120620175146Z,"""@Nonstopdrivel Was FredEx on this team?"""
1,20120619033424Z,"""god, you're tiresome. get a life, you loser."""
0,20120612141919Z,"""stop pretending ur not bradley's side. you're the BS..are u blind don't give us that stupid\xa0long\xa0explainations of yours,\xa0you\xa0\xa0sounds like that 2 idiot judges exactly carbon copy !!...arum we need our moneyyyy bacckkkkkkk !!!!!!"""
0,20120610012708Z,"""fucking weird game man"""
0,20120620031132Z,"""I told you I would give it if you did. You started acting likje a tough guy behind your moms computer then I asked you 20 times for an address and you still won't give it."""
0,20120619055834Z,"""I don't know if Lewis is a little boy or little girl. Either way it becomes the third on my list of petulant idiots. You will understand when you grow up. Ask an old bastard member of your family to explain. Such actions cannot be tolerated. How come you blame the line judge? Weird."""
0,20120620015832Z,"""thats a pathetic flop fuck you jvg"""
0,20120611195156Z,"""Why should they bother improving ios if they sell more phones than they care to produce. These advice are better served to the also-runs... wp first and foremost"""
0,,"""spursruss: I live in Argentina and its not all Argentinians. The problem being those who are loud on the issue are ill educated and you can be sure they wouldn't be rushing to fight anyone, they would be cowering in the background. My wife is Argentinean and she is the first one to recognize the stupidity of the claims. Some of muppet think they fought their Independence against the UK, morons the lot of them. The answer is simple, if we were the leading colonial force, you would be an ENGLISH speaking country, you aren't, because werent it was Spain, Portugal, France, our interests were commercial. Also the worst part is they themselves exterminated the natives, the Spanish started it but actually it was the newly formed Argies which did most of the killing of the native, lovely eh? Clueless stuff, you wonder why the Government gets away with corruption, so many ignorant people thats why...you shouldnt judge ALL by the standard, these a huge amount of Argies who see the Cristina drum beating for what it is, the same as ALL presidents of Argentina do, using it to cover their failing."""
0,20120527153941Z,"""you better hope because the Marlins have a history of giving up their superstars"""
0,,"""Well, you guys have gone and done it now. You put the words 'China' and 'Chinese' up the required number of times for the dating Asians ad to come up. Evidently, Ms. Zhang, 50Kg and 168cm [for a BMI of 17.8] from 'HuNan China' wants to meet me. She has her little mouth open like she's speaking. What's that you ask, Zhang? Well, yes, as a matter of fact I am a physician.  Why are you clapping your hands together and jumping up and down?  Stop that squealing, young lady and 'exprain' yourself!"""
0,20120620154731Z,"""you mean like your off topic Obama rant bellow?"""
0,20120529035809Z,"""I hope they do it inconjunction with July 4...."""
0,,"""Surely will be a crushing blow, when he doesn't get the next four years, would you consider leaving the country????????????????"""
0,20120611225404Z,"""I haven't watched Fox News in years, true."""
0,20120528200101Z,"""Are you in France?"""
0,20120620001100Z,"""I'll take that temp...I really hate the heat"""
0,20120620070034Z,"""Alexis Bledel can act. Wait. Can she? I have this blind spot when it comes to impossibly beautiful women. Shit, maybe she can't act. Fuck, what the hell do I do now?\n\nWHAT THE HELL DO I DO NOW!?"""
0,20120612035513Z,"""I like your comments.\nHowever I would go one step further.  It's not time to ""let"" the people of IL fight back.\nRather the citizens of IL just need to fight back period.  \nI will carry next time I travel into ""little Beirut"".  i.e. Chicago"""
1,20120619194023Z,"""Fact : Georgia passed a strict immigration policy and most of the Latino farm workers left the area. Vidalia Georgia now has over 3000 agriculture job openings and they have been able to fill about 250 of them in past year. All you White Real Americans who are looking for work that the Latinos stole from you..Where are you ? The jobs are i Vadalia just waiting for you..Or maybe its the fact that you would rather collect unemployment like the rest of the Tea Klaners.. You scream..you complain..and you sit at home in your wife beaters and drink beer..Typical Real White Tea Klan...."""
1,20120530000452Z,"""Of course you would bottom feeder ..."""
0,20120619201802Z,"""M\xe1tenlos!!\nhttp://1.bp.blogspot.com/-YVSZmVv2iRw/Tmo8KFaUGMI/AAAAAAAAA0k/NlLAahKNnis/s1600/kill_it_with_fire_KILL_IT_KILL_IT_WITH_FIRE-s670x394-132457.jpg"""
1,20120619162450Z,"""You are\xa0 a fukin moron. \xa0\xa0 You are just butthurt that you got rejected on WIkipedia.\n\nCall yoursilf scolar or whatever.\xa0 I am better than you,\xa0 just 14 and already a Wikipedia administrator.\xa0 You are just a stupid ashole."""
0,20120528135045Z,"""He is doing what any president doe's on this day.\nI do not recall if other presidents appeared at the Wall.\n\nelection year.... yea, but then again you would never say anything\nif he did not appear. You can not have it both ways."""
0,20120619193808Z,"""...yeah, and you're a f'ing expert.....go back to picking through trash barrels you tool"""
0,20120618201005Z,"""Those trails will definitely get plowed regardless of the investigation. They'll just see it as easier to plow the area than deal with it. And once they got plowed I would never return or risk getting stopped and heavily questioned by the PO-PO's. \n\nP.S. - All the stupid comments are unnecessary. It's really easy to be cold and heartless and act like you don't give a fuck. But I'd like to see these anonymous commentators talk shit like that in front of this person's family or even their own Mother's. Grow up children and learn some respect."""
0,20120529200220Z,"""Suh had a sack the last time they played."""
0,20120612001540Z,"""and you are support argument a-hole....\n\nNot everyone games on their pc's either. \xa0Spec whores miss the point entirely.......\n\nI prefer the mac to my daily work. \xa0That beings said, I'm also a big believer in the best tool for the job and there are certain things that PC's do better, (Database and servers for instance)\n\nThe thing is that you havent proved anything other than an anti apple bias and name calling (guilty myself to get your attention) id just juvenile"""
1,20120619171832Z,"""You are a fucking dumb ass!.  Go back to you Xbox dickhead.  Grow up you little fanboy."""
0,20120515062952Z,"""you know what would be fun? If you guys talked crap back to us. more entertaining"""
0,,"""@beeline @SidneyCatsby ...I'm assuming you are in school in the states."""
0,,"""They should put all the gay and lesbians on an island\\xe2\\x80\\xa6\\xc2\\xa0 Oh wait there is Manhattan. """
0,20120610020958Z,"""YOLO. This is hilarious. Canyon students are so racist! Even though most of us are Mexican! Fuck gabby!"""
1,20120502203704Z,"""Lets see your papers arealconservati.\n\nTill then shut the fuuk up sticky-chin."""
0,,"""An interesting angle of organized religion is that religious persecution is never ok unless your defending your own religion.\\xc2\\xa0 You all aren't victims of religious oppression.\\xc2\\xa0 You are the oppressors.\\xc2\\xa0 BTW, i'm not gay.\\xc2\\xa0 I just love how you people try to defend your persecution of others while claiming your are being persecuted."""
1,,"""Correction Bitch! You don't think it's superb because your hating ass doesn't know talent..And Again I am still waiting on you to submit a video of you singing..Where is the youtube link? I am sure you will get all kinds of rave reviews lol"""
1,20120611215519Z,"""I think the only trickle that effected you was the trickle of sperm your dad gave your mom and most of that trickled down her leg.   Go back to sleep, we will wake you when you are needed again."""
1,20120515142854Z,"""And you keep on your knees and keep telling yourself that is a sausage in your mouth.\xa0 And that is cream cheese you are swallowing."""
0,20120620125953Z,"""What was that, like 2000 words about nothing? You're going after Andrea Mitchell? What, was Fox infomercial not broadcasting yesterday? How about the apologies issued for the ""EPA drones""? And yet here you are attacking Andrea Mitchell about some stupid gas station gimmick.\n\nHere's another newsflash for you, Mr. Romney (R1%) is out of touch. We all already know it. Mr. Romney's amazement wasn't just about some gadget at a ""petrol filling post"" but that people could actually buy food products there and that they actually eat it.\n\nThis very second Mr. Romney isn't even carrying a wallet. And it is very likely that he doesn't even know where it is. I'm still waiting for someone to ask him the tough campaign trail question of ""how much does a gallon of milk cost?"".\n\nAndrea Mitchell and gas station food... unbelievable."""
0,20120619032603Z,"""@Rourke needs to give me a fucking like\xa0\xa0@jwoude23\xa0hows everyone doin?"""
1,20120514051227Z,"""fuck you both"""
0,20120619182936Z,"""Powers,\n\nMSNBC Is far far more biased and hostile in it's comments than FOX. At least at FOX there are usually opposing views. MSNBC is just a shill for the president. And they keep having to fire their hosts for all the outrageous remarks they make.\n\nNow, CNN is getting almost as bad as MSNBC."""
0,20120527213608Z,"""What horrible trades are you talking about?"""
1,20120320212724Z,"""and retards like you back to the institutions."""
0,20120610004410Z,"""weapons lol hes an idiot an waste of human space had it made and ruined it all"""
0,20120529210906Z,"""Not a big fan of Rondo, but the dude can ball...I wouldn't classify him as a big talker, just trying to psyche himself up..."""
1,20120619190700Z,"""Pig Maher, you forgot your meds again. You know you are one sick SOB so don't forget."""
0,20120611201812Z,"""It's not just the rich screaming about taxes.\xa0 It's the average middle class American who pays his/her taxes and doesn't see the benefit of those taxes (but instead sees waste).\xa0 I pay federal taxes, but I don't use public schools, I'm not collecting any govt welfare or benefits, I pay for my own healthcare etc.\xa0 I use the roads and sewers, so I don't mind paying the city taxes\xa0for that.\xa0 My trash pick up is private, so I pay that directly to the trash company.\xa0\xa0Everyone should pay for what they\xa0'use', not\xa0based on what they make.\xa0\xa0If\xa0one wants to be a part of society, one should\xa0contribute and pay their fair share.\xa0 That includes the rich or poor."""
1,20120320095936Z,"""Mr. King isn't it about time you either grow a pair of balls or join the democrats who will love a pussy cat like you."""
0,20120619203524Z,"""I'm amused by the fact that WeBlog cons drop any issue once it turns into a loser.\n\nThis is an expression of that amusement."""
0,,"""Gabriel.\\xc2\\xa0 \\xc2\\xa0Getting time to blow that horn?"""
0,20120529153517Z,"""Exactly. Like, I don't really give a shit how fat a person may or may not feel, but it really is shitty when your clothes don't fit. And not in a ""I'm so gross"" way but in a ""I can't very well leave the house naked!!"" way."""
0,20120619204714Z,"""Welfare queen into a whore, not a crack whore. \xa0I think a whore is a more productive worker than a welfare queen."""
0,20120611235119Z,"""POLITICAL CORRECTNESS:\n\nPolitical Correctness is a doctrine, fostered by a delusional, illogical minority, and rapidly promoted by an unscrupulous lamestream media, which holds forth the proposition that it is entirely possible to pick up a piece of ch*t \xa0by the clean end."""
1,20120620063410Z,"""What an ass you are...funny I see a lot more of you ""nuts"" in cars then I ever have of pilots in panes..."""
1,20120530113926Z,"""You can take international law and\xa0 shove it. You are such a schmuck, I don t know why I even comment on your idiotic posts. The ""peace activists"" on the ship started hitting the soldiers with weapons in order to kill the."""
0,20120612023024Z,"""Blown is  a little pissy after he applied for a union job and was turned down.  He is just another good republican minion spreading today's message."""
0,20120619224557Z,"""If you dont have a teleport and air-mix ups ""you are nothing to me"""""
0,,"""stop trying to sound like a victim bitches dont understand men dont have the same temper and not the same thoughts go through ur mind than ours.. u put a nigga on da spot get up in his face and start throwing yo stank breath on us believe me u got it coming yal go no right period"""
0,20120610065027Z,"""robert moroni you fuckin dimwit, do you know what a parody is? It's a fuckin parody of fox news and it sounds accurate to me!"""
1,20120514051108Z,"""The most evil, callous, vile, creature in all of mythology is your made up god. Stop killing and eating babies, you dirty christard!"""
0,20120620181659Z,"""Oops! \xa0How embarrassing (for me)... you are right People1st... I bow to the superior movie intellect of your son :)"""
0,20120612031614Z,"""If you throw trash out your window, you get a yellow star bumper sticker."""
0,,"""Once more we see where the soft immigration policy has let the citizens down.... I bet they come from a family who have less education than a retarded hampster yet were given a nice new life in Britain... Reap what you sow...."""
0,,"""Nope. Not working for me either.32-23-34www.facebook.com/annagillmodel\\n\\n \\n\\nYou have my email! :) """
0,20120514051012Z,"""That jump shooting bit gets old.  When you don't get calls on contact and get your shot thrown off you look for separation and you jump shoot.  Especially if you ain't big, which is most teams because bigs and longs are rare/expensive at pro level."""
0,20120528033457Z,"""""This was a tough loss for us, right now there are guys blowing each other in the locker room.""\n\n-Scott Brooks"""
1,20120320210420Z,"""You're a complete and utter moron."""
1,20120528221848Z,"""Your still a loser, man we must have really gotten under your skin lol"""
0,,"""The ignorance here is astounding. Clearly it says in the video that Cleveland was ALREADY convicted of rape and is serving jail time for it. He\\'s GUILTY. She WAS RAPED!! (for all of the morons who\\'ve said ugly statements about her or attacked the veracity of her story) The only determination that this court is trying to make is whether Cash Money should be held liable. I think it\\'s reasonable that when you invite someone to make a professional presentation at YOUR company that YOU provide necessary protections for that individual. I don\\'t care whether Cleveland was employed or just ""a hanger-on"" a professional guest should not have been left unattended in the hands of someone dangerous that was there admittedly with Baby and Slim\\'s knowledge and permission. If you went to a store and were attacked by an employee or a ""friend of the boss"" (who was permitted to hang around premises), would you not hold the company responsible?\\xc2\\xa0"""
0,20120620153735Z,"""Fuck hard, then fuck slow, then fuck hard, and then start again."""
0,20120529130655Z,"""@Axlrodes\xa0Were you here for the Wide Receiver drama?"""
0,20120611211947Z,"""are you fucking kidding me no mirrors fuck you freesteam"""
1,20120618200449Z,"""Nothing was confirmed in the 19th century you moron. There was no modern medical science to prove ANYTHING. Dont try to quote from the same period of time that brought us the Spanish Inquisition. You are the lowest of the low, i feel sorry for you."""
1,20120619175937Z,"""My best friend who is allergic to wheat, corn, soy, red dye, yellow dye, pistachios, tree nuts, kiwis, cherries, oranges, bananas, and seafood. If she gets anywhere near the smell of seafood her lungs constrict and she can no longer breath. Last week she got cut by a dog leash that had pistachios on it and almost went into anaphylactic. I know a little about food allergies.\xa0\n\nI asked my friend if she thought it was rude and selfish of someone to want food allergies so they could die. She said you are a bitch. So I do not really think it is insulting that she wants food allergies so she can die. I think we're back to you're a bitch."""
0,20120527182916Z,"""So not focusing on Boston vs Miami for a minute.... Who's the scarier opponent, SanAn or OKC?"""
1,20120610162400Z,"""floyd has a better knock out percentage than pacman you dumb fuuuuck"""
0,20120612082854Z,"""so wat have u bn doing all along if u want to train them nw.we thot yo presence must strengthen the strike force bt proving otherws.shame!!!!!!!!!!!!!!!!!!!"""
0,20120619014349Z,"""The Dean of Mean is a typical Tory who believes there's one law for him and another one for everyone else.\nBig Steve better get around to firing everyone at Elections Canada and replacing them with Tory hacks before they really get into what the Tories did in the 2011 campaign."""
0,,"""Oh fab - we have a tennis player who has a sense of humour and who can smile. Mr Murray please note. Mind you he has left it too late to cheer up. Misery guts"""
0,20120609183518Z,"""You are repeating yourself, mate."""
1,20120612083701Z,"""You are one sick puppy."""
0,20120620155324Z,"""Very true, indeed! I've tried to sit down and study for hours straight without any breaks and I'm not nearly as effective as when I take a few breaks."""
0,20120611013005Z,"""so da fuck wat if he prasie the devil look where he at keep doin ya thing my nigga"""
1,20120611204143Z,"""Can I say dick on here?\nYour a dick."""
0,20120611171123Z,"""@niemerg1 Right.\xa0 Never said it was fool proof tho."""
0,20120609231913Z,"""The wonders of PLASTIC SURGERY <3"""
0,20120611173531Z,"""Ron Paul / Cynthia Mckinney 2012\nThe all Wacko ticket!\nCalling all Paul sheep to the barn for your daily feeding. Don't forget your wallet!"""
0,,"""go on move to hollywood, join russell brand and take dan lobe with you"""
1,,"""The way this fucking hoodrat is standing in that picture is boiling my blood. I'd like to meet this cunt in an alley for a few minutes. Selfish fucking twat."""
0,,"""hahaha today a group of Argentine veterans from the Falklands war beat the crap out of a senator of the peronist party, the party in power right now, for using them for political purposes. The people in Argentina are getting tired of this ""show"" the politicians are doing to distract the Argentine population from other far more important problems."""
0,20120527181201Z,"""We afford what we HAVE to afford, Marco."""
0,20120618223658Z,"""Hey moron ""buttons1994"", Kerry won't be able to bully Obama like Romney bullied a gay boy when he was in prep school by physically assaulting him.\n\nBut the clown Romney won't be able to bully Obama in a debate either, so it's a wash."""
0,20120610043304Z,"""and like it matters, you are waiting for next year...I am still living in the playoffs...suck on it loser"""
0,,"""Should have hung for what he did, this country is all for the monsters that lurk among us!!!"""
0,20120618200244Z,"""@Childerz\xa0\xa0@koosh12684\xa0\xa0@jwoude23\xa0\xa0@welfarecheese\xa0\xa0@SDL\xa0\xa0@Nonstopdrivel\xa0\n\xa0\nRight on. As long as we are both open and honest about how we come to our own conclusions, I couldn't give a shit if we disagree."""
0,20120619001635Z,"""they are pecking him to death he gives up ugly runs"""
0,,"""@Blaine Jungwirth definitely thought that only deserved a 2, but hey, I takes what I gets!"""
0,20120620142254Z,"""I can't trend I'm on my iPod touch"""
0,20120612020610Z,"""This was the JOINT back in the day!\n\nAnd am I the only one who thought Gregory looked like he could be Philip Michael Thomas' brother?  LOL"""
1,20120503001924Z,"""How old are u 12? \n\nKnicks fan BEEYATCH!!!\n\nNot a Melo ball licker!!!"""
0,20120529224055Z,"""Anything better than the Grover Norquist, Tea party, Wall Street, corporatist GOP."""
1,20120619195231Z,"""BITCH NIGGA YOU NEED AN EYE EXAM, AND EYE GLASSES! CASSIE ONE OF THE FINEST WOMEN ON EARTH!"""
0,20120609235433Z,"""Are you attempting to be kinky here?\xa0 You have some kind of fetish?"""
0,20120618204044Z,"""You get the gold star!The best post I've seen on here in months!!Hilarious...Great job,Canadian!PS I think we need you to come down here.I'll sponsor you!!"""
0,20120530024237Z,"""How old are you?"""
1,20120612051753Z,"""Nothing worse then a idi0t who smugs because of who he is, Gay"""
1,20120528043620Z,"""You're a child rapist in NY. You have admitted it MANY times you sick fuck! You have no room to talk."""
0,20120529130729Z,"""@J.O. \xa0 The man was a genius."""
1,20120611235146Z,"""Anti American piece of-shit you are"""
1,20120502165117Z,"""Have you be sipping at th e sacramental wine again?\n\nYou really are a dense little dude."""
0,20120529093527Z,"""Yes but remember - the government is listening to the views of the owner of Wonga.\n\nWonga will loan your business\xa0money (at astonomical rates)"""
0,20120530054153Z,"""The tirade isn't what people caused people to dislike her.  Read her comments.  Like this one, ""I know of her story and her husband. We all have stories. I mean, I almost died, and Venus is struggling herself. So, you know, it's life. "" \n\nShe comes across as uncaring and selfish.  On top of that she never gives an opponent any credit--it's always about what SHE did.\n\nI absolutely like Venus--consistently root for her and have for years--but Serena is an absolutely awful person that needs to grow up"""
0,,"""Stacy C. is right - Dumbama and his fat-ass wife and their cronies have created this atmosphere of govt. interference and what they feel govt entities should be doing.\\xc2\\xa0 Schools and others take their cues from the top down, and when they see this admin. forcing restaurants to publish calories on menus, then they feel they should be doing ""their part"" for their messiah and become food police.\\xc2\\xa0 I cannot believe that a school puts out an approved food list.\\xc2\\xa0\\xc2\\xa0I would be suing.\\xc2\\xa0"""
0,20120529113543Z,"""GALLUP DAILY\nMay 24-26, 2012 \u2013 Updates daily at 1 p.m. ET; reflects one-day change\nNo updates Monday, May 28; next update will be Tuesday, May 29.\nObama Approval48%-\nObama Disapproval45%-1\nPRESIDENTIAL ELECTION\nObama47%-\nRomney45%-\n7-day rolling average\n\n It seems the bump Romney got is over and the president is on his game."""
0,20120612120924Z,"""This is someone whose self-importance got the best of him. If anyone should be fired it would be Tate. This kind of behavior is inexcusable and unbecoming of a man who holds the futures of many employees in his hand."""
0,20120530113019Z,"""Don't stand on your porch."""
0,20120528204226Z,"""camp has got to come in here and get this guy. this is where you earn your money."""
0,,"""You could not be more wrong. The American Tea Party stands for limited government. Fiscal responsibility, and a return to our constitution. The Tea Party when it rallies or protests does it legally with brains. We pay the permits, arrange the events, say our piece, and then clean up and go home. The occupukes on the other hand. Are not only different, they are opposite. They trespass, they steal, they show up without permission. They damage private property, they collect urine and feces to throw on people. They set fires, they smash store windows. They rape young girls. I can go on and on. Oh and the heat, AC and warm beds were all paid for by those people. don't kid yourself that we are not committed to our cause because we are not stupid like you or OWS. There is a right way and a wrong way to do things. You and the occupunks have choosen the later."""
0,20120529084343Z,"""Because that is how they get their rocks off. Our government is run by pedophiles who sexually torture children."""
0,20120514051009Z,"""He actually said ""what a spoiled bitch I am"".\xa0 I never hated Colton the way most of the posters did, because I felt for him.\xa0 Being gay in a republican family, can only mean that you have been villified.\xa0 He was dismayed that it was men vs women, as that took away any comfort zone he may have had.\xa0 The men didn't welcome him, and when he got power, it went to his ""spoiled bitch"" head."""
0,20120610074630Z,"""With inbreeds being the longest running malcontents."""
